"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-08-23,NA,NA,NA,NA,NA,NA,3.73210536263549e-07,3.73210536263549e-07,3.73210536263549e-07,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-24,NA,NA,NA,NA,NA,NA,6.9130465940012e-07,6.9130465940012e-07,6.9130465940012e-07,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-25,NA,NA,NA,NA,NA,NA,1.73843343840138e-06,1.73843343840138e-06,1.73843343840138e-06,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-26,0,0,0,4.40886669710134e-07,4.40886669710134e-07,4.40886669710134e-07,4.10585662854247e-06,4.10585662854247e-06,4.10585662854247e-06,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-27,0,0,0,7.74184320251957e-07,7.74184320251957e-07,7.74184320251957e-07,7.6160678810651e-06,7.6160678810651e-06,7.6160678810651e-06,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-28,0,0,0,1.78569811783207e-06,1.78569811783207e-06,1.78569811783207e-06,1.17583072996417e-05,1.17583072996417e-05,1.17583072996417e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-29,0,0,0,3.83609607592013e-06,3.83609607592013e-06,3.83609607592013e-06,1.51986555692238e-05,1.51986555692238e-05,1.51986555692238e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-30,0,0,0,6.67789635303997e-06,6.67789635303997e-06,6.67789635303997e-06,1.73819735909367e-05,1.73819735909367e-05,1.73819735909367e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-08-31,0,0,0,1.00636171077154e-05,1.00636171077154e-05,1.00636171077154e-05,1.90489011121486e-05,1.90489011121486e-05,1.90489011121486e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-01,0,0,0,1.30728972441155e-05,1.30728972441155e-05,1.30728972441155e-05,2.09266607445482e-05,2.09266607445482e-05,2.09266607445482e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-02,0,0,0,1.52835494290819e-05,1.52835494290819e-05,1.52835494290819e-05,2.24255863608191e-05,2.24255863608191e-05,2.24255863608191e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-03,1.51030252732518e-05,1.51030252732518e-05,1.51030252732518e-05,1.71953524651472e-05,1.71953524651472e-05,1.71953524651472e-05,2.24950035779623e-05,2.24950035779623e-05,2.24950035779623e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-04,3.17958426805301e-05,3.17958426805301e-05,3.17958426805301e-05,1.93080851548439e-05,1.93080851548439e-05,1.93080851548439e-05,2.11751065421917e-05,2.11751065421917e-05,2.11751065421917e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-05,4.61039718867687e-05,4.61039718867687e-05,4.61039718867687e-05,2.11043089315907e-05,2.11043089315907e-05,2.11043089315907e-05,1.8802497620844e-05,1.8802497620844e-05,1.8802497620844e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-06,5.40529325569012e-05,5.40529325569012e-05,5.40529325569012e-05,2.1718637193311e-05,2.1718637193311e-05,2.1718637193311e-05,2.02916054607678e-05,2.02916054607678e-05,2.02916054607678e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-07,5.16682443558615e-05,5.16682443558615e-05,5.16682443558615e-05,2.11289266892945e-05,2.11289266892945e-05,2.11289266892945e-05,2.97287180469545e-05,2.97287180469545e-05,2.97287180469545e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-08,3.49754269485831e-05,3.49754269485831e-05,3.49754269485831e-05,1.93130341688313e-05,1.93130341688313e-05,1.93130341688313e-05,4.6402549568694e-05,4.6402549568694e-05,4.6402549568694e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-09,0,0,0,2.09396183363262e-05,2.09396183363262e-05,2.09396183363262e-05,6.85599556901319e-05,6.85599556901319e-05,6.85599556901319e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-10,0,0,0,2.97451194560512e-05,2.97451194560512e-05,2.97451194560512e-05,9.84960623314748e-05,9.84960623314748e-05,9.84960623314748e-05,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-11,0,0,0,4.43090666170964e-05,4.43090666170964e-05,4.43090666170964e-05,0.000139581400039551,0.000139581400039551,0.000139581400039551,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-12,0,0,0,6.32109889085518e-05,6.32109889085518e-05,6.32109889085518e-05,0.000190593407757725,0.000190593407757725,0.000190593407757725,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-13,0,0,0,8.90598509282557e-05,8.90598509282557e-05,8.90598509282557e-05,0.000248762056695833,0.000248762056695833,0.000248762056695833,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-14,0,0,0,0.000124552815605915,0.000124552815605915,0.000124552815605915,0.000290203947506203,0.000290203947506203,0.000290203947506203,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-15,0,0,0,0.000168401709528424,0.000168401709528424,0.000168401709528424,0.000300294856578857,0.000300294856578857,0.000300294856578857,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-16,0,0,0,0.000219318359282675,0.000219318359282675,0.000219318359282675,0.000292262049383315,0.000292262049383315,0.000292262049383315,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-17,0.000201108704954353,0.000201108704954353,0.000201108704954353,0.000258717678707633,0.000258717678707633,0.000258717678707633,0.000280492086352249,0.000280492086352249,0.000280492086352249,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-18,0.000429243876187157,0.000429243876187157,0.000429243876187157,0.00027494699299271,0.00027494699299271,0.00027494699299271,0.000282240454219741,0.000282240454219741,0.000282240454219741,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-19,0.00062796789294047,0.00062796789294047,0.00062796789294047,0.000277116745750477,0.000277116745750477,0.000277116745750477,0.000300330322661639,0.000300330322661639,0.000300330322661639,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-20,0.000740843134456352,0.000740843134456352,0.000740843134456352,0.000274337380593502,0.000274337380593502,0.000274337380593502,0.000325330908563072,0.000325330908563072,0.000325330908563072,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
2021-09-21,0.000711431979976861,0.000711431979976861,0.000711431979976861,0.000281656966486353,0.000281656966486353,0.000281656966486353,0.000350285045743296,0.000350285045743296,0.000350285045743296,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2021/22"
