"","influenza_type","date","wwtp","total_cases","measuring_period","daily_cases","date_2","is_observation"
"1","A",2021-08-26,"BASEL",0,"2021/22",0,2021-08-26,TRUE
"2",NA,2021-08-27,NA,NA,NA,0,NA,NA
"3",NA,2021-08-28,NA,NA,NA,0,NA,NA
"4",NA,2021-08-29,NA,NA,NA,0,NA,NA
"5",NA,2021-08-30,NA,NA,NA,0,NA,NA
"6",NA,2021-08-31,NA,NA,NA,0,NA,NA
"7",NA,2021-09-01,NA,NA,NA,0,NA,NA
"8","A",2021-09-02,"BASEL",0,"2021/22",0,2021-09-02,TRUE
"9",NA,2021-09-03,NA,NA,NA,1.51030252732518e-05,NA,NA
"10",NA,2021-09-04,NA,NA,NA,3.17958426805301e-05,NA,NA
"11",NA,2021-09-05,NA,NA,NA,4.61039718867687e-05,NA,NA
"12",NA,2021-09-06,NA,NA,NA,5.40529325569012e-05,NA,NA
"13",NA,2021-09-07,NA,NA,NA,5.16682443558615e-05,NA,NA
"14",NA,2021-09-08,NA,NA,NA,3.49754269485831e-05,NA,NA
"15","A",2021-09-09,"BASEL",0,"2021/22",0,2021-09-09,TRUE
"16",NA,2021-09-10,NA,NA,NA,0,NA,NA
"17",NA,2021-09-11,NA,NA,NA,0,NA,NA
"18",NA,2021-09-12,NA,NA,NA,0,NA,NA
"19",NA,2021-09-13,NA,NA,NA,0,NA,NA
"20",NA,2021-09-14,NA,NA,NA,0,NA,NA
"21",NA,2021-09-15,NA,NA,NA,0,NA,NA
"22","A",2021-09-16,"BASEL",0,"2021/22",0,2021-09-16,TRUE
"23",NA,2021-09-17,NA,NA,NA,0.000201108704954353,NA,NA
"24",NA,2021-09-18,NA,NA,NA,0.000429243876187157,NA,NA
"25",NA,2021-09-19,NA,NA,NA,0.00062796789294047,NA,NA
"26",NA,2021-09-20,NA,NA,NA,0.000740843134456352,NA,NA
"27",NA,2021-09-21,NA,NA,NA,0.000711431979976861,NA,NA
"28",NA,2021-09-22,NA,NA,NA,0.000483296808744058,NA,NA
"29","A",2021-09-23,"BASEL",0,"2021/22",0,2021-09-23,TRUE
"30",NA,2021-09-24,NA,NA,NA,0,NA,NA
"31",NA,2021-09-25,NA,NA,NA,0,NA,NA
"32",NA,2021-09-26,NA,NA,NA,0,NA,NA
"33",NA,2021-09-27,NA,NA,NA,0,NA,NA
"34",NA,2021-09-28,NA,NA,NA,0,NA,NA
