"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2022-10-03,NA,NA,NA,NA,NA,NA,0.153632269877913,0.153632269877913,0.153632269877913,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-04,NA,NA,NA,NA,NA,NA,0.168245684058318,0.168245684058318,0.168245684058318,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-05,NA,NA,NA,NA,NA,NA,0.182673981506004,0.182673981506004,0.182673981506004,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-06,0.142857143155714,0.142857143155714,0.142857143155714,0.152142814179458,0.152142814179458,0.152142814179458,0.197165955501783,0.197165955501783,0.197165955501783,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-07,0.166795373148388,0.166795373148388,0.166795373148388,0.16534924424721,0.16534924424721,0.16534924424721,0.209736471653623,0.209736471653623,0.209736471653623,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-08,0.189869701798103,0.189869701798103,0.189869701798103,0.177657219494201,0.177657219494201,0.177657219494201,0.220232626053762,0.220232626053762,0.220232626053762,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-09,0.211216227761899,0.211216227761899,0.211216227761899,0.190343928918889,0.190343928918889,0.190343928918889,0.230750469484003,0.2306895416692,0.230811397298806,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-10,0.229971049696817,0.229971049696817,0.229971049696817,0.202107832340612,0.202107832340612,0.202107832340612,0.240787155009015,0.240487227526704,0.241087082491327,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-11,0.245270266259899,0.245270266259899,0.245270266259899,0.212501240353542,0.212501240353542,0.212501240353542,0.24926595316229,0.248531505856288,0.250000400468292,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-12,0.256249976108184,0.256249976108184,0.256249976108184,0.223233223906248,0.223092841321179,0.223373606491317,0.259912767411421,0.252494926125206,0.267330608697636,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-13,0.262046277898714,0.262046277898714,0.262046277898714,0.233562134154325,0.233044622079614,0.234079646229036,0.271831756640395,0.250300931554144,0.293362581726646,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-14,0.262379725710911,0.262379725710911,0.262379725710911,0.242369856569029,0.241304495498452,0.243435217639606,0.284679326036351,0.238873567108647,0.330485084964055,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-15,0.25930869531372,0.25930869531372,0.25930869531372,0.253145087409136,0.244185741389238,0.262104433429035,0.302053764217981,0.2135387039617,0.390568824474263,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-16,0.255476017898471,0.255476017898471,0.255476017898471,0.26482270242417,0.243025878236762,0.286619526611577,0.321670489125524,0.1817696587896,0.461571319461448,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-17,0.253524524656489,0.253524524656489,0.253524524656489,0.277100291807182,0.234911008653219,0.319289574961144,0.342570038342623,0.157423474806652,0.527716601878594,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-18,0.256097046779103,0.256097046779103,0.256097046779103,0.293487161638109,0.215084178048451,0.371890145227766,0.366990771643498,0.134564846789236,0.599416696497761,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-19,0.26583641545764,0.26583641545764,0.26583641545764,0.31175204045466,0.190656829559526,0.432847251349793,0.39276755655648,0.12531365372861,0.66022145938435,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-20,0.285385461883429,0.285385461883429,0.285385461883429,0.331215984618408,0.173148796852574,0.489283172384241,0.418346127273247,0.139317508415646,0.697374746130849,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-21,0.316370013043585,0.316370013043585,0.316370013043585,0.354157956142813,0.153492959217492,0.554822953068134,0.447203398089123,0.151631513618032,0.742775282560214,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-22,0.356347879108384,0.356347879108384,0.356347879108384,0.378475613042272,0.143258453273652,0.613692772810891,0.476286863183408,0.170561867866466,0.782011858500349,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-23,0.401859866043891,0.401859866043891,0.401859866043891,0.402823124255114,0.151855637772972,0.653790610737255,0.504570138408414,0.202802228600092,0.806338048216736,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-24,0.44944677981617,0,1.35673380567491,0.430540843182773,0.157728701032899,0.703352985332647,0.535022780341504,0.230938963391711,0.839106597291297,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-25,0.495649426391286,0,1.46558005559943,0.458590058674098,0.170870815178339,0.746309302169856,0.565255856270173,0.266585769379774,0.863925943160573,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-26,0.537008611735303,0,1.5237670499398,0.486130844220251,0.197324897688604,0.774936790751898,0.593879442420245,0.32336759900889,0.8643912858316,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-27,0.570065141814286,0,1.52039919279692,0.516002259722395,0.220689081782144,0.811315437662646,0.625561907414544,0.382028692919672,0.869095121909417,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-28,0.592593974072877,0,1.49988099993162,0.545764125777399,0.25180865506639,0.839719596488409,0.658756228753401,0.448249404379046,0.869263053127755,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-29,0.607306671870035,0.219334420186776,0.995278923553294,0.574136113793742,0.302330719392398,0.845941508195085,0.692283085376272,0.528460785846377,0.856105384906167,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-30,0.618148950043295,0.230176698360036,1.00612120172655,0.605482363024794,0.354449606087672,0.856515119961916,0.730690189509478,0.599702805071568,0.861677573947387,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-10-31,0.629066523430193,0.241094271746934,1.01703877511345,0.638038244549872,0.414612299410085,0.861464189689659,0.771729108731571,0.6714314752295,0.872026742233642,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-11-01,0.644005106868264,0.644005106868264,0.644005106868264,0.670727118832109,0.489936210106761,0.851518027557457,0.812901579842068,0.742971683742683,0.882831475941453,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-11-02,0.666910415195045,0.666910415195045,0.666910415195045,0.707956372079921,0.559354748030552,0.856557996129289,0.857374501937784,0.808016514748866,0.906732489126701,NA,NA,NA,NA,NA,NA,NA,"BASEL","A","2022/23"
2022-11-03,0.701728163248071,0.701728163248071,0.701728163248071,0.747478562058624,0.630334326605757,0.864622797511492,0.902755911748603,0.875395461676445,0.93011636182076,1.14086256322232,0.200483084135483,2.88236056238893,2.88236056238893,0.200483084135483,1.14058138301495,1.14114374342969,"BASEL","A","2022/23"
2022-11-04,0.751039575815547,0.751039575815547,0.751039575815547,0.787163339164155,0.702694127624954,0.871632550703356,0.945721339397777,0.933836270174343,0.957606408621211,1.13811762253149,0.212301804075824,2.82579557712338,2.82579557712338,0.212301804075824,1.12441572863156,1.15181951643142,"BASEL","A","2022/23"
2022-11-05,0.811967917488345,0.811967917488345,0.811967917488345,0.83024988082352,0.769377648155149,0.89112211349189,0.991165260555132,0.980343436496527,1.00198708461374,1.13393738416981,0.223454888379857,2.76935982921158,2.76935982921158,0.223454888379857,1.11641105243847,1.15146371590114,"BASEL","A","2022/23"
2022-11-06,0.880271962808008,0.880271962808008,0.880271962808008,0.874384266274001,0.835583226977645,0.913185305570357,1.03452951412443,1.01096707009565,1.05809195815321,1.12808293173124,0.23360177203409,2.71317077944946,2.71317077944946,0.23360177203409,1.11425911968308,1.1419067437794,"BASEL","A","2022/23"
2022-11-07,0.951710486316078,0.951710486316078,0.951710486316078,0.916535161156042,0.896287569789197,0.936782752522888,1.07402743594096,1.03000101114484,1.11805386073707,1.12097975335923,0.242705694450946,2.65828472133304,2.65828472133304,0.242705694450946,1.10370178953813,1.13825771718032,"BASEL","A","2022/23"
2022-11-08,1.0220422625541,1.0220422625541,1.0220422625541,0.961493293386302,0.950028341353933,0.972958245418671,1.11292898402598,1.04856951187231,1.17728845617965,1.11249837117761,0.250515371454511,2.60478698667556,2.60478698667556,0.250515371454511,1.08321242763095,1.14178431472428,"BASEL","A","2022/23"
2022-11-09,1.0870260660636,1.0870260660636,1.0870260660636,1.00473695993488,0.986432957359594,1.02304096251017,1.14773779657501,1.05526658850331,1.24020900464671,1.10291270397726,0.256985952535889,2.55331102177058,2.55331102177058,0.256985952535889,1.06246215731618,1.14336325063834,"BASEL","A","2022/23"
2022-11-10,1.14242067138614,1.14242067138614,1.14242067138614,1.04475647048842,1.00851466913173,1.08099827184511,1.17766189515328,1.05120288045225,1.3041209098543,1.09280463658488,0.262246225727546,2.50490866544663,2.50490866544663,0.262246225727546,1.03704976397034,1.14855950919941,"BASEL","A","2022/23"
2022-11-11,1.18505452780578,1.18505452780578,1.18505452780578,1.08474034071702,1.03049698131743,1.13898370011662,1.21155749534649,1.06207796272042,1.36103702797257,1.08421035999907,0.267194592944503,2.46268460017003,2.46268460017003,0.267194592944503,1.02226532681669,1.14615539318144,"BASEL","A","2022/23"
2022-11-12,1.21603478357666,1.21603478357666,1.21603478357666,1.12106888934961,1.04143483798645,1.20070294071278,1.24669937096701,1.0757244864687,1.41767425546532,1.07855528998257,0.272629151348497,2.42833662305557,2.42833662305557,0.272629151348497,1.01728475120637,1.13982582875877,"BASEL","A","2022/23"
2022-11-13,1.23753826169547,1.23753826169547,1.23753826169547,1.1528385679659,1.04199866043225,1.26367847549955,1.29020403709051,1.10197786048509,1.47843021369592,1.07862498710049,0.280213262384246,2.40514503854753,2.40514503854753,0.280213262384246,1.02502714888179,1.13222282531918,"BASEL","A","2022/23"
2022-11-14,1.25174178515889,1.25174178515889,1.25174178515889,1.18817013597187,1.0558404625668,1.32049980937694,1.35334002472849,1.1647077380131,1.54197231144388,1.08658629651854,0.291592338248363,2.39482142605442,2.39482142605442,0.291592338248363,1.04613312024477,1.12703947279231,"BASEL","A","2022/23"
2022-11-15,1.26082217696358,1.26082217696358,1.26082217696358,1.22366474487138,1.0697002871355,1.37762920260727,1.42370905353787,1.23325882828011,1.61415927879564,1.10049253085159,0.306657041415847,2.39220895341074,2.39220895341074,0.306657041415847,1.07088838135355,1.13009668034963,"BASEL","A","2022/23"
2022-11-16,1.26695626010622,1.26695626010622,1.26695626010622,1.2659442951948,1.09323489811554,1.43865369227406,1.52125710531891,1.32721309258277,1.71530111805505,1.12156995102203,0.326903773687113,2.3971645753647,2.3971645753647,0.326903773687113,1.093036580876,1.15010332116807,"BASEL","A","2022/23"
2022-11-17,1.2723208575835,0.546491236896508,1.99815047827049,1.3255910081618,1.14961403144698,1.50156798487661,1.6472440357344,1.45763279977301,1.83685527169579,1.14771355045542,0.352148487871175,2.40476678008297,2.40476678008297,0.352148487871175,1.11502428298406,1.18040281792678,"BASEL","A","2022/23"
2022-11-18,1.28059601934142,0.637216825390066,1.92397521329277,1.39036240453287,1.2095155163227,1.57120929274305,1.79636530544217,1.60744814286526,1.98528246801907,1.17800713193145,0.382763322002263,2.41224517632083,2.41224517632083,0.382763322002263,1.14191445715818,1.21409980670472,"BASEL","A","2022/23"
2022-11-19,1.30147470312331,0.433039165644175,2.16991024060246,1.47993626431697,1.29317279932115,1.66669972931278,1.98627608740768,1.79458342468827,2.1779687501271,1.21062933199568,0.418408468589454,2.41623104242886,2.41623104242886,0.418408468589454,1.17230580658793,1.24895285740342,"BASEL","A","2022/23"
2022-11-20,1.34615309362187,0.554208051136342,2.1380981361074,1.594816761839,1.4107409368436,1.77889258683439,2.2092459754058,2.02264806039541,2.39584389041619,1.24152578239887,0.457130300754942,2.41089220683116,2.41089220683116,0.457130300754942,1.19946358926167,1.28358797553607,"BASEL","A","2022/23"
2022-11-21,1.42582737552977,0.699997754842773,2.15165699621676,1.73002861116557,1.54530367528455,1.91475354704659,2.45165683114882,2.26511736386972,2.63819629842792,1.26632448996269,0.496060965264762,2.39123827715734,2.39123827715734,0.496060965264762,1.22040413257194,1.31224484735344,"BASEL","A","2022/23"
2022-11-22,1.55169373353967,1.55169373353967,1.55169373353967,1.90307548893444,1.71495253544896,2.09119844241992,2.72492227888288,2.53047648803401,2.91936806973175,1.28218056315219,0.532445229331819,2.35567431346702,2.35567431346702,0.532445229331819,1.23465710477867,1.32970402152572,"BASEL","A","2022/23"
2022-11-23,1.73494835234426,1.73494835234426,1.73494835234426,2.10667295123683,1.92400814547417,2.28933775699948,3.0176557746984,2.8222219206023,3.21308962879449,1.28842602821363,0.564387565763445,2.30616771459096,2.30616771459096,0.564387565763445,1.24287566076497,1.3339763956623,"BASEL","A","2022/23"
