"region","data_type","date","median_R_mean","median_R_highHPD","median_R_lowHPD"
"ZH","infection_norm_n1",2020-10-04,1.48603801560752,1.85981239144169,1.11226363977335
"ZH","infection_norm_n1",2020-10-05,1.38505041803244,1.7304329948221,1.03966784124277
"ZH","infection_norm_n1",2020-10-06,1.31700045922927,1.65374850001924,0.9802524184393
"ZH","infection_norm_n1",2020-10-07,1.27229394198103,1.61499484522998,0.929593038732074
"ZH","infection_norm_n1",2020-10-08,1.25768689425762,1.62269556203567,0.892678226479561
"ZH","infection_norm_n1",2020-10-09,1.27923967860167,1.66938227174702,0.889097085456311
"ZH","infection_norm_n1",2020-10-10,1.32866888559342,1.71879954417998,0.938538227006855
"ZH","infection_norm_n1",2020-10-11,1.38928130679419,1.74900239989083,1.02956021369755
"ZH","infection_norm_n1",2020-10-12,1.44538536625039,1.76818692191442,1.12258381058635
"ZH","infection_norm_n1",2020-10-13,1.49111025622914,1.78611651034102,1.19610400211725
"ZH","infection_norm_n1",2020-10-14,1.52600310228635,1.79835982606311,1.25364637850959
"ZH","infection_norm_n1",2020-10-15,1.55125843834844,1.81369249398027,1.28882438271661
"ZH","infection_norm_n1",2020-10-16,1.55805832874505,1.83220363653784,1.28391302095226
"ZH","infection_norm_n1",2020-10-17,1.53424804500935,1.8206181358275,1.24787795419121
"ZH","infection_norm_n1",2020-10-18,1.47792183049308,1.7586122762674,1.19723138471875
"ZH","infection_norm_n1",2020-10-19,1.40202696897744,1.66743778941918,1.1366161485357
"ZH","infection_norm_n1",2020-10-20,1.32483639006408,1.57722332925552,1.07244945087264
"ZH","infection_norm_n1",2020-10-21,1.25400990392214,1.49383459737434,1.01418521046995
"ZH","infection_norm_n1",2020-10-22,1.18668538105081,1.4117152814303,0.961655480671312
"ZH","infection_norm_n1",2020-10-23,1.12025477273152,1.33313645737731,0.907373088085736
"ZH","infection_norm_n1",2020-10-24,1.05860750550166,1.26440586247475,0.852809148528568
"ZH","infection_norm_n1",2020-10-25,1.0072138754548,1.20760720940077,0.806820541508824
"ZH","infection_norm_n1",2020-10-26,0.966381243175169,1.16257230895802,0.770190177392321
"ZH","infection_norm_n1",2020-10-27,0.932403187019847,1.12912439624341,0.735681977796287
"ZH","infection_norm_n1",2020-10-28,0.906381028867005,1.11036361836407,0.702398439369936
"ZH","infection_norm_n1",2020-10-29,0.894069085638908,1.10988701519555,0.678251156082267
"ZH","infection_norm_n1",2020-10-30,0.900536986973448,1.12781529041288,0.673258683534011
"ZH","infection_norm_n1",2020-10-31,0.923764280460843,1.15673509085847,0.690793470063213
"ZH","infection_norm_n1",2020-11-01,0.956370438626289,1.1866972176736,0.726043659578981
"ZH","infection_norm_n1",2020-11-02,0.98692030418602,1.20858214659843,0.765258461773614
"ZH","infection_norm_n1",2020-11-03,1.00710421289745,1.21618046682595,0.798027958968943
"ZH","infection_norm_n1",2020-11-04,1.01505650939408,1.2098231271279,0.820289891660259
"ZH","infection_norm_n1",2020-11-05,1.01469491133766,1.19838664903327,0.831003173642052
"ZH","infection_norm_n1",2020-11-06,1.00871830829793,1.18909369645568,0.828342920140182
"ZH","infection_norm_n1",2020-11-07,0.995637615796107,1.17885609015882,0.812419141433395
"ZH","infection_norm_n1",2020-11-08,0.973103126633179,1.16239977088355,0.783806482382809
"ZH","infection_norm_n1",2020-11-09,0.946060395811863,1.1436290838456,0.748491707778122
"ZH","infection_norm_n1",2020-11-10,0.922085948520689,1.12504760718815,0.719124289853225
"ZH","infection_norm_n1",2020-11-11,0.90443741744015,1.107459495702,0.701415339178297
"ZH","infection_norm_n1",2020-11-12,0.89180358912894,1.09400852245126,0.689598655806618
"ZH","infection_norm_n1",2020-11-13,0.884612913112759,1.08854274924449,0.680683076981026
"ZH","infection_norm_n1",2020-11-14,0.888552803686017,1.09489996502987,0.682205642342159
"ZH","infection_norm_n1",2020-11-15,0.909419500057443,1.11865714337339,0.700181856741499
"ZH","infection_norm_n1",2020-11-16,0.944838625967802,1.15923231539519,0.730444936540413
"ZH","infection_norm_n1",2020-11-17,0.988488856881459,1.20544724622716,0.77153046753576
"ZH","infection_norm_n1",2020-11-18,1.03513575037446,1.24883394803499,0.821437552713935
"ZH","infection_norm_n1",2020-11-19,1.08173685744005,1.29165813259482,0.87181558228529
"ZH","infection_norm_n1",2020-11-20,1.12427568573965,1.33451790617453,0.914033465304775
"ZH","infection_norm_n1",2020-11-21,1.15605627172294,1.36798591383847,0.944126629607416
"ZH","infection_norm_n1",2020-11-22,1.17237225533093,1.3853098460549,0.959434664606961
