date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2020-01-09,0.0000,0.0000,1.0000
2020-01-10,0.0000,0.0000,1.0000
2020-01-11,0.0000,0.0000,1.0000
2020-01-12,0.0000,0.0000,1.0000
2020-01-13,0.0000,0.0000,1.0000
2020-01-14,0.0000,0.0000,1.0000
2020-01-15,0.0000,0.0000,1.0000
2020-01-16,0.0000,0.0000,1.0000
2020-01-17,0.0000,0.0000,1.0000
2020-01-18,0.0000,0.0000,1.0000
2020-01-19,0.0000,0.0000,1.0000
2020-01-20,0.0000,0.0000,1.0000
2020-01-21,0.0000,0.0000,1.0000
2020-01-22,0.0000,0.0000,1.0000
2020-01-23,0.0000,0.0000,1.0000
2020-01-24,0.0000,0.0000,1.0000
2020-01-25,0.0000,0.0000,1.0000
2020-01-26,0.0000,0.0000,1.0000
2020-01-27,0.0000,0.0000,1.0000
2020-01-28,0.0000,0.0000,1.0000
2020-01-29,0.0000,0.0000,1.0000
2020-01-30,0.0000,0.0000,1.0000
2020-01-31,0.0000,0.0000,1.0000
2020-02-01,0.0000,0.0000,1.0000
2020-02-02,0.0000,0.0000,1.0000
2020-02-03,0.0000,0.0000,1.0000
2020-02-04,0.0000,0.0000,1.0000
2020-02-05,0.0000,0.0000,1.0000
2020-02-06,0.0000,0.0000,1.0000
2020-02-07,0.0000,0.0000,1.0000
2020-02-08,0.0000,0.0000,1.0000
2020-02-09,0.0000,0.0000,1.0000
2020-02-10,0.0000,0.0000,1.0000
2020-02-11,0.0000,0.0000,1.0000
2020-02-12,0.0000,0.0000,1.0000
2020-02-13,0.0000,0.0000,1.0000
2020-02-14,0.0000,0.0000,1.0000
2020-02-15,0.0000,0.0000,1.0000
2020-02-16,0.0000,0.0000,1.0000
2020-02-17,0.0000,0.0000,1.0000
2020-02-18,0.0000,0.0000,1.0000
2020-02-19,0.0000,0.0000,1.0000
2020-02-20,0.0000,0.0000,1.0000
2020-02-21,0.0000,0.0000,0.9641
2020-02-22,0.0000,0.0000,0.9641
2020-02-23,0.0000,0.0000,0.8432
2020-02-24,0.0000,0.0000,0.6419
2020-02-25,0.0000,0.0000,0.5615
2020-02-26,0.0000,0.0000,0.4899
2020-02-27,0.0000,0.0000,0.4416
2020-02-28,0.0000,0.0000,0.4144
2020-02-29,0.0000,0.0000,0.3409
2020-03-01,0.0000,0.0000,0.2991
2020-03-02,0.0000,0.0000,0.2665
2020-03-03,0.0000,0.0000,0.2382
2020-03-04,0.0000,0.0000,0.2361
2020-03-05,0.0000,0.0000,0.2300
2020-03-06,0.0000,0.0000,0.1950
2020-03-07,0.0000,0.0000,0.1682
2020-03-08,0.0000,0.0000,0.1293
2020-03-09,0.0000,0.0000,0.1076
2020-03-10,0.0000,0.0000,0.0885
2020-03-11,0.0000,0.0000,0.0796
2020-03-12,0.0000,0.0000,0.0719
2020-03-13,0.0000,0.0000,0.0567
2020-03-14,0.0000,0.0000,0.0513
2020-03-15,0.0000,0.0000,0.0506
2020-03-16,0.0000,0.0000,0.0495
2020-03-17,0.0000,0.0000,0.0507
2020-03-18,0.0000,0.0000,0.0507
2020-03-19,0.0000,0.0000,0.0517
2020-03-20,0.0000,0.0000,0.0617
2020-03-21,0.0000,0.0000,0.0712
2020-03-22,0.0000,0.0000,0.0758
2020-03-23,0.0000,0.0000,0.0798
2020-03-24,0.0000,0.0000,0.0900
2020-03-25,0.0000,0.0000,0.1015
2020-03-26,0.0000,0.0000,0.1150
2020-03-27,0.0000,0.0000,0.1306
2020-03-28,0.0000,0.0000,0.1160
2020-03-29,0.0000,0.0000,0.1043
2020-03-30,0.0000,0.0000,0.1201
2020-03-31,0.0000,0.0000,0.1185
2020-04-01,0.0000,0.0000,0.1170
2020-04-02,0.0000,0.0000,0.1140
2020-04-03,0.0000,0.0000,0.1068
2020-04-04,0.0000,0.0000,0.1027
2020-04-05,0.0000,0.0000,0.1373
2020-04-06,0.0000,0.0000,0.1512
2020-04-07,0.0000,0.0000,0.1692
2020-04-08,0.0000,0.0000,0.1782
2020-04-09,0.0000,0.0000,0.1831
2020-04-10,0.0000,0.0000,0.2281
2020-04-11,0.0000,0.0000,0.4416
2020-04-12,0.0000,0.0000,0.4276
2020-04-13,0.0000,0.0000,0.4209
2020-04-14,0.0000,0.0000,0.3284
2020-04-15,0.0000,0.0000,0.3131
2020-04-16,0.0000,0.0000,0.3205
2020-04-17,0.0000,0.0000,0.2588
2020-04-18,0.0000,0.0000,0.2613
2020-04-19,0.0000,0.0000,0.2804
2020-04-20,0.0000,0.0000,0.2834
2020-04-21,0.0000,0.0000,0.3497
2020-04-22,0.0000,0.0000,0.3793
2020-04-23,0.0000,0.0000,0.3639
2020-04-24,0.0000,0.0000,0.3409
2020-04-25,0.0000,0.0000,0.3131
2020-04-26,0.0000,0.0000,0.3060
2020-04-27,0.0000,0.0000,0.2747
2020-04-28,0.0000,0.0000,0.2492
2020-04-29,0.0000,0.0000,0.2447
2020-04-30,0.0000,0.0000,0.2539
2020-05-01,0.0000,0.0000,0.2991
2020-05-02,0.0000,0.0000,0.3284
2020-05-03,0.0000,0.0000,0.3324
2020-05-04,0.0000,0.0000,0.3689
2020-05-05,0.0000,0.0000,0.4490
2020-05-06,0.0000,0.0000,0.4727
2020-05-07,0.0000,0.0000,0.4899
2020-05-08,0.0000,0.0000,0.5735
2020-05-09,0.0000,0.0000,0.6270
2020-05-10,0.0000,0.0000,0.6576
2020-05-11,0.0000,0.0000,0.7707
2020-05-12,0.0000,0.0000,0.7492
2020-05-13,0.0000,0.0000,0.6914
2020-05-14,0.0000,0.0000,0.6914
2020-05-15,0.0000,0.0000,0.6270
2020-05-16,0.0000,0.0000,0.5860
2020-05-17,0.0000,0.0000,0.6127
2020-05-18,0.0000,0.0000,0.5860
2020-05-19,0.0000,0.0000,0.6419
2020-05-20,0.0000,0.0000,0.6914
2020-05-21,0.0000,0.0000,0.6914
2020-05-22,0.0000,0.0000,0.7935
2020-05-23,0.0000,0.0000,0.8996
2020-05-24,0.0000,0.0000,0.7289
2020-05-25,0.0000,0.0000,0.7097
2020-05-26,0.0000,0.0000,0.7097
2020-05-27,0.0000,0.0000,0.7097
2020-05-28,0.0000,0.0000,0.7097
2020-05-29,0.0000,0.0000,0.7097
2020-05-30,0.0000,0.0000,0.6270
2020-05-31,0.0000,0.0000,0.6576
2020-06-01,0.0000,0.0000,0.6576
2020-06-02,0.0000,0.0000,0.6270
2020-06-03,0.0000,0.0000,0.6270
2020-06-04,0.0000,0.0000,0.6270
2020-06-05,0.0000,0.0000,0.5860
2020-06-06,0.0000,0.0000,0.6419
2020-06-07,0.0000,0.0000,0.6914
2020-06-08,0.0000,0.0000,0.7289
2020-06-09,0.0000,0.0000,0.7289
2020-06-10,0.0000,0.0000,0.7097
2020-06-11,0.0000,0.0000,0.7097
2020-06-12,0.0000,0.0000,0.6741
2020-06-13,0.0000,0.0000,0.6914
2020-06-14,0.0000,0.0000,0.7097
2020-06-15,0.0000,0.0000,0.7097
