"","...1","date","region_nr","measuring_period","pathogen","total_cnslt","date_2","is_observation"
"1",239,2021-08-02,1,"2021/22","RSV",0.428571428571429,2021-08-02,TRUE
"2",NA,2021-08-03,1,"2021/22","RSV",0.325720322395234,NA,NA
"3",NA,2021-08-04,1,"2021/22","RSV",0.228072543266573,NA,NA
"4",NA,2021-08-05,1,"2021/22","RSV",0.140831418232982,NA,NA
"5",NA,2021-08-06,1,"2021/22","RSV",0.0692002743419943,NA,NA
"6",NA,2021-08-07,1,"2021/22","RSV",0.018382438641145,NA,NA
"7",NA,2021-08-08,1,"2021/22","RSV",0,NA,NA
"8",242,2021-08-09,1,"2021/22","RSV",0,2021-08-09,TRUE
"9",NA,2021-08-10,1,"2021/22","RSV",0.0408318380875248,NA,NA
"10",NA,2021-08-11,1,"2021/22","RSV",0.111229014151835,NA,NA
"11",NA,2021-08-12,1,"2021/22","RSV",0.204333576836973,NA,NA
"12",NA,2021-08-13,1,"2021/22","RSV",0.313287574786982,NA,NA
"13",NA,2021-08-14,1,"2021/22","RSV",0.431233056645905,NA,NA
"14",NA,2021-08-15,1,"2021/22","RSV",0.551312071057786,NA,NA
"15",246,2021-08-16,1,"2021/22","RSV",0.666666666666667,2021-08-16,TRUE
"16",NA,2021-08-17,1,"2021/22","RSV",0.771316062586335,NA,NA
"17",NA,2021-08-18,1,"2021/22","RSV",0.862788159809554,NA,NA
"18",NA,2021-08-19,1,"2021/22","RSV",0.939488029798831,NA,NA
"19",NA,2021-08-20,1,"2021/22","RSV",0.999820744016673,NA,NA
"20",NA,2021-08-21,1,"2021/22","RSV",1.04219137392559,NA,NA
"21",NA,2021-08-22,1,"2021/22","RSV",1.06500499098809,NA,NA
"22",249,2021-08-23,1,"2021/22","RSV",1.06666666666667,2021-08-23,TRUE
"23",NA,2021-08-24,1,"2021/22","RSV",1.04630430029406,NA,NA
"24",NA,2021-08-25,1,"2021/22","RSV",1.00593710268382,NA,NA
"25",NA,2021-08-26,1,"2021/22","RSV",0.948307112519706,NA,NA
"26",NA,2021-08-27,1,"2021/22","RSV",0.8761563684855,NA,NA
"27",NA,2021-08-28,1,"2021/22","RSV",0.792226909264967,NA,NA
"28",NA,2021-08-29,1,"2021/22","RSV",0.699260773541878,NA,NA
"29",254,2021-08-30,1,"2021/22","RSV",0.6,2021-08-30,TRUE
"30",NA,2021-08-31,1,"2021/22","RSV",0.49730541456591,NA,NA
"31",NA,2021-09-01,1,"2021/22","RSV",0.39451299213741,NA,NA
"32",NA,2021-09-02,1,"2021/22","RSV",0.295077494855106,NA,NA
"33",NA,2021-09-03,1,"2021/22","RSV",0.202453684859605,NA,NA
"34",NA,2021-09-04,1,"2021/22","RSV",0.120096324291516,NA,NA
"35",NA,2021-09-05,1,"2021/22","RSV",0.0514601752914451,NA,NA
"36",259,2021-09-06,1,"2021/22","RSV",0,2021-09-06,TRUE
"37",NA,2021-09-07,1,"2021/22","RSV",0,NA,NA
"38",NA,2021-09-08,1,"2021/22","RSV",0,NA,NA
"39",NA,2021-09-09,1,"2021/22","RSV",0,NA,NA
"40",NA,2021-09-10,1,"2021/22","RSV",0,NA,NA
"41",NA,2021-09-11,1,"2021/22","RSV",0,NA,NA
"42",NA,2021-09-12,1,"2021/22","RSV",0,NA,NA
"43",264,2021-09-13,1,"2021/22","RSV",0,2021-09-13,TRUE
"44",NA,2021-09-14,1,"2021/22","RSV",0.00864681616634831,NA,NA
"45",NA,2021-09-15,1,"2021/22","RSV",0.0127746824951456,NA,NA
"46",NA,2021-09-16,1,"2021/22","RSV",0.0133656056556529,NA,NA
"47",NA,2021-09-17,1,"2021/22","RSV",0.0114015923171311,NA,NA
"48",NA,2021-09-18,1,"2021/22","RSV",0.00786464914884101,NA,NA
"49",NA,2021-09-19,1,"2021/22","RSV",0.00373678282004368,NA,NA
"50",270,2021-09-20,1,"2021/22","RSV",0,2021-09-20,TRUE
"51",NA,2021-09-21,1,"2021/22","RSV",0,NA,NA
"52",NA,2021-09-22,1,"2021/22","RSV",0,NA,NA
"53",NA,2021-09-23,1,"2021/22","RSV",0,NA,NA
"54",NA,2021-09-24,1,"2021/22","RSV",0,NA,NA
"55",NA,2021-09-25,1,"2021/22","RSV",0,NA,NA
"56",NA,2021-09-26,1,"2021/22","RSV",0,NA,NA
"57",275,2021-09-27,1,"2021/22","RSV",0,2021-09-27,TRUE
"58",NA,2021-09-28,1,"2021/22","RSV",0.00159257736063353,NA,NA
"59",NA,2021-09-29,1,"2021/22","RSV",0.00299145492290885,NA,NA
"60",NA,2021-09-30,1,"2021/22","RSV",0.00399433709371419,NA,NA
"61",NA,2021-10-01,1,"2021/22","RSV",0.00439892827993776,NA,NA
"62",NA,2021-10-02,1,"2021/22","RSV",0.00400293288846777,NA,NA
"63",NA,2021-10-03,1,"2021/22","RSV",0.00260405532619245,NA,NA
"64",280,2021-10-04,1,"2021/22","RSV",0,2021-10-04,TRUE
"65",NA,2021-10-05,1,"2021/22","RSV",0,NA,NA
"66",NA,2021-10-06,1,"2021/22","RSV",0,NA,NA
"67",NA,2021-10-07,1,"2021/22","RSV",0,NA,NA
"68",NA,2021-10-08,1,"2021/22","RSV",0,NA,NA
"69",NA,2021-10-09,1,"2021/22","RSV",0,NA,NA
"70",NA,2021-10-10,1,"2021/22","RSV",0,NA,NA
"71",285,2021-10-11,1,"2021/22","RSV",0,2021-10-11,TRUE
"72",NA,2021-10-12,1,"2021/22","RSV",0.0136492668825211,NA,NA
"73",NA,2021-10-13,1,"2021/22","RSV",0.0291056864255783,NA,NA
"74",NA,2021-10-14,1,"2021/22","RSV",0.0425551136563458,NA,NA
"75",NA,2021-10-15,1,"2021/22","RSV",0.0501834036019976,NA,NA
"76",NA,2021-10-16,1,"2021/22","RSV",0.0481764112897078,NA,NA
"77",NA,2021-10-17,1,"2021/22","RSV",0.0327199917466506,NA,NA
"78",290,2021-10-18,1,"2021/22","RSV",0,2021-10-18,TRUE
"79",NA,2021-10-19,1,"2021/22","RSV",0,NA,NA
"80",NA,2021-10-20,1,"2021/22","RSV",0,NA,NA
"81",NA,2021-10-21,1,"2021/22","RSV",0,NA,NA
"82",NA,2021-10-22,1,"2021/22","RSV",0,NA,NA
"83",NA,2021-10-23,1,"2021/22","RSV",0,NA,NA
"84",NA,2021-10-24,1,"2021/22","RSV",0,NA,NA
"85",296,2021-10-25,1,"2021/22","RSV",0,2021-10-25,TRUE
"86",NA,2021-10-26,1,"2021/22","RSV",0.193505905350347,NA,NA
"87",NA,2021-10-27,1,"2021/22","RSV",0.436558125880668,NA,NA
"88",NA,2021-10-28,1,"2021/22","RSV",0.700013405698625,NA,NA
"89",NA,2021-10-29,1,"2021/22","RSV",0.954728488911876,NA,NA
"90",NA,2021-10-30,1,"2021/22","RSV",1.17156011962808,NA,NA
"91",NA,2021-10-31,1,"2021/22","RSV",1.3213650419549,NA,NA
"92",301,2021-11-01,1,"2021/22","RSV",1.375,2021-11-01,TRUE
"93",NA,2021-11-02,1,"2021/22","RSV",1.31320613375596,NA,NA
"94",NA,2021-11-03,1,"2021/22","RSV",1.15626216675505,NA,NA
"95",NA,2021-11-04,1,"2021/22","RSV",0.934331218414505,NA,NA
"96",NA,2021-11-05,1,"2021/22","RSV",0.677576408151517,NA,NA
"97",NA,2021-11-06,1,"2021/22","RSV",0.416160855383297,NA,NA
"98",NA,2021-11-07,1,"2021/22","RSV",0.180247679527056,NA,NA
"99",307,2021-11-08,1,"2021/22","RSV",0,2021-11-08,TRUE
"100",NA,2021-11-09,1,"2021/22","RSV",0,NA,NA
"101",NA,2021-11-10,1,"2021/22","RSV",0,NA,NA
"102",NA,2021-11-11,1,"2021/22","RSV",0,NA,NA
"103",NA,2021-11-12,1,"2021/22","RSV",0,NA,NA
"104",NA,2021-11-13,1,"2021/22","RSV",0.114077591700037,NA,NA
"105",NA,2021-11-14,1,"2021/22","RSV",0.263974935480398,NA,NA
"106",313,2021-11-15,1,"2021/22","RSV",0.428571428571429,2021-11-15,TRUE
"107",NA,2021-11-16,1,"2021/22","RSV",0.597670197394669,NA,NA
"108",NA,2021-11-17,1,"2021/22","RSV",0.7677065183483,NA,NA
"109",NA,2021-11-18,1,"2021/22","RSV",0.936773705324666,NA,NA
"110",NA,2021-11-19,1,"2021/22","RSV",1.10296507221611,NA,NA
"111",NA,2021-11-20,1,"2021/22","RSV",1.26437393291498,NA,NA
"112",NA,2021-11-21,1,"2021/22","RSV",1.41909360131361,NA,NA
"113",319,2021-11-22,1,"2021/22","RSV",1.56521739130435,2021-11-22,TRUE
"114",NA,2021-11-23,1,"2021/22","RSV",1.70047495003676,NA,NA
"115",NA,2021-11-24,1,"2021/22","RSV",1.82114125768925,NA,NA
"116",NA,2021-11-25,1,"2021/22","RSV",1.92312762769745,NA,NA
"117",NA,2021-11-26,1,"2021/22","RSV",2.002345373497,NA,NA
"118",NA,2021-11-27,1,"2021/22","RSV",2.05470580852352,NA,NA
"119",NA,2021-11-28,1,"2021/22","RSV",2.07612024621264,NA,NA
"120",325,2021-11-29,1,"2021/22","RSV",2.0625,2021-11-29,TRUE
"121",NA,2021-11-30,1,"2021/22","RSV",2.0116443866005,NA,NA
"122",NA,2021-12-01,1,"2021/22","RSV",1.92890473584611,NA,NA
"123",NA,2021-12-02,1,"2021/22","RSV",1.82152038084812,NA,NA
"124",NA,2021-12-03,1,"2021/22","RSV",1.69673065471776,NA,NA
"125",NA,2021-12-04,1,"2021/22","RSV",1.56177489056631,NA,NA
"126",NA,2021-12-05,1,"2021/22","RSV",1.42389242150503,NA,NA
"127",331,2021-12-06,1,"2021/22","RSV",1.29032258064516,2021-12-06,TRUE
"128",NA,2021-12-07,1,"2021/22","RSV",1.16838318461255,NA,NA
"129",NA,2021-12-08,1,"2021/22","RSV",1.06570598409134,NA,NA
"130",NA,2021-12-09,1,"2021/22","RSV",0.990001213280228,NA,NA
"131",NA,2021-12-10,1,"2021/22","RSV",0.948979106377938,NA,NA
"132",NA,2021-12-11,1,"2021/22","RSV",0.950349897583181,NA,NA
"133",NA,2021-12-12,1,"2021/22","RSV",1.00182382109467,NA,NA
"134",337,2021-12-13,1,"2021/22","RSV",1.11111111111111,2021-12-13,TRUE
"135",NA,2021-12-14,1,"2021/22","RSV",1.28154137187187,NA,NA
"136",NA,2021-12-15,1,"2021/22","RSV",1.49892168777892,NA,NA
"137",NA,2021-12-16,1,"2021/22","RSV",1.74467851327487,NA,NA
"138",NA,2021-12-17,1,"2021/22","RSV",2.00023830280234,NA,NA
"139",NA,2021-12-18,1,"2021/22","RSV",2.24702751080394,NA,NA
"140",NA,2021-12-19,1,"2021/22","RSV",2.46647259172228,NA,NA
"141",343,2021-12-20,1,"2021/22","RSV",2.64,2021-12-20,TRUE
"142",NA,2021-12-21,1,"2021/22","RSV",2.74959356851356,NA,NA
"143",NA,2021-12-22,1,"2021/22","RSV",2.77946664387487,NA,NA
"144",NA,2021-12-23,1,"2021/22","RSV",2.71438995112972,NA,NA
"145",NA,2021-12-24,1,"2021/22","RSV",2.53913421532388,NA,NA
"146",NA,2021-12-25,1,"2021/22","RSV",2.23847016150313,NA,NA
"147",NA,2021-12-26,1,"2021/22","RSV",1.79716851471325,NA,NA
"148",349,2021-12-27,1,"2021/22","RSV",1.2,2021-12-27,TRUE
"149",NA,2021-12-28,1,"2021/22","RSV",0.456877356989352,NA,NA
"150",NA,2021-12-29,1,"2021/22","RSV",0,NA,NA
"151",NA,2021-12-30,1,"2021/22","RSV",0,NA,NA
"152",NA,2021-12-31,1,"2021/22","RSV",0,NA,NA
"153",NA,2022-01-01,1,"2021/22","RSV",0,NA,NA
"154",NA,2022-01-02,1,"2021/22","RSV",0,NA,NA
"155",354,2022-01-03,1,"2021/22","RSV",0,2022-01-03,TRUE
"156",355,2022-01-03,1,"2021/22","RSV",1.56521739130435,2022-01-03,TRUE
"157",NA,2022-01-04,1,"2021/22","RSV",2.59297488050358,NA,NA
"158",NA,2022-01-05,1,"2021/22","RSV",2.95638117396416,NA,NA
"159",NA,2022-01-06,1,"2021/22","RSV",2.82575301637305,NA,NA
"160",NA,2022-01-07,1,"2021/22","RSV",2.37140715241719,NA,NA
"161",NA,2022-01-08,1,"2021/22","RSV",1.76366032678356,NA,NA
"162",NA,2022-01-09,1,"2021/22","RSV",1.1728292841591,NA,NA
"163",362,2022-01-10,1,"2021/22","RSV",0.769230769230769,2022-01-10,TRUE
"164",NA,2022-01-11,1,"2021/22","RSV",0.679641191512011,NA,NA
"165",NA,2022-01-12,1,"2021/22","RSV",0.856675619822189,NA,NA
"166",NA,2022-01-13,1,"2021/22","RSV",1.20940878780715,NA,NA
"167",NA,2022-01-14,1,"2021/22","RSV",1.64691542911274,NA,NA
"168",NA,2022-01-15,1,"2021/22","RSV",2.07827027738481,NA,NA
"169",NA,2022-01-16,1,"2021/22","RSV",2.4125480662692,NA,NA
