"","sample_date","measuring_period","wwtp","IAV_gc_per_mL_WW","IBV_gc_per_mL_WW","RSV_gc_per_mL_WW","influenza_type","observation_units","observation","date_2","is_observation"
"1",2021-10-03,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-10-03,TRUE
"2",2021-10-04,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"3",2021-10-05,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"4",2021-10-06,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"5",2021-10-07,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"6",2021-10-08,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"7",2021-10-09,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"8",2021-10-10,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-10-10,TRUE
"9",2021-10-11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"10",2021-10-12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"11",2021-10-13,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"12",2021-10-14,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"13",2021-10-15,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"14",2021-10-16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"15",2021-10-17,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-10-17,TRUE
"16",2021-10-18,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"17",2021-10-19,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"18",2021-10-20,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"19",2021-10-21,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"20",2021-10-22,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"21",2021-10-23,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"22",2021-10-24,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-10-24,TRUE
"23",2021-10-25,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"24",2021-10-26,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"25",2021-10-27,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"26",2021-10-28,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"27",2021-10-29,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"28",2021-10-30,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"29",2021-10-31,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"30",2021-11-01,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-11-01,TRUE
"31",2021-11-02,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"32",2021-11-03,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"33",2021-11-04,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"34",2021-11-05,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"35",2021-11-06,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"36",2021-11-07,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-11-07,TRUE
"37",2021-11-08,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"38",2021-11-09,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"39",2021-11-10,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"40",2021-11-11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"41",2021-11-12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"42",2021-11-13,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"43",2021-11-14,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-11-14,TRUE
"44",2021-11-15,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"45",2021-11-16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"46",2021-11-17,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"47",2021-11-18,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"48",2021-11-19,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"49",2021-11-20,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"50",2021-11-21,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-11-21,TRUE
"51",2021-11-22,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"52",2021-11-23,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"53",2021-11-24,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"54",2021-11-25,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"55",2021-11-26,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"56",2021-11-27,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"57",2021-11-28,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-11-28,TRUE
"58",2021-11-29,NA,NA,NA,NA,NA,NA,NA,1.35469410804698,NA,NA
"59",2021-11-30,NA,NA,NA,NA,NA,NA,NA,2.70938821609395,NA,NA
"60",2021-12-01,"2021/22","ARA Basel",4.88,0,NA,"IAV","gc_per_day_norm",4.06408232414093,2021-12-01,TRUE
"61",2021-12-02,NA,NA,NA,NA,NA,NA,NA,3.0480617431057,NA,NA
"62",2021-12-03,NA,NA,NA,NA,NA,NA,NA,2.03204116207046,NA,NA
"63",2021-12-04,NA,NA,NA,NA,NA,NA,NA,1.01602058103523,NA,NA
"64",2021-12-05,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-12-05,TRUE
"65",2021-12-06,NA,NA,NA,NA,NA,NA,NA,3.19831485909011,NA,NA
"66",2021-12-07,NA,NA,NA,NA,NA,NA,NA,6.39662971818021,NA,NA
"67",2021-12-08,NA,NA,NA,NA,NA,NA,NA,9.59494457727032,NA,NA
"68",2021-12-09,"2021/22","ARA Basel",14.52,0,NA,"IAV","gc_per_day_norm",12.7932594363604,2021-12-09,TRUE
"69",2021-12-10,NA,NA,NA,NA,NA,NA,NA,8.52883962424029,NA,NA
"70",2021-12-11,NA,NA,NA,NA,NA,NA,NA,4.26441981212014,NA,NA
"71",2021-12-12,"2021/22","ARA Basel",0,0,NA,"IAV","gc_per_day_norm",0,2021-12-12,TRUE
"72",2021-12-13,NA,NA,NA,NA,NA,NA,NA,14.268615861041,NA,NA
"73",2021-12-14,"2021/22","ARA Basel",49.2,0,NA,"IAV","gc_per_day_norm",28.5372317220819,2021-12-14,TRUE
"74",2021-12-15,NA,NA,NA,NA,NA,NA,NA,23.7986527940944,NA,NA
"75",2021-12-16,NA,NA,NA,NA,NA,NA,NA,19.0600738661069,NA,NA
