"sample_date","wwtp","measuring_period","measurement_type","mean"
2021-12-03,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1689506952937.63
2021-12-03,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",11.3008230800561
2021-12-06,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2260463323253.16
2021-12-06,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",12.6524606972717
2021-12-06,"STEP Aire","2021/22","IAV_gc_per_day",0
2021-12-06,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0
2021-12-06,"STEP Aire","2021/22","IBV_gc_per_day",0
2021-12-06,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2021-12-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",5630319780374.53
2021-12-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",18.9040941335988
2021-12-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2021-12-10,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2021-12-10,"STEP Aire","2021/22","IAV_gc_per_day",1002055580341.57
2021-12-10,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.2110064772264
2021-12-10,"STEP Aire","2021/22","IBV_gc_per_day",334006157021.695
2021-12-10,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.07029585451197
2021-12-13,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3347679039039.47
2021-12-13,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",18.8685614388346
2021-12-13,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2021-12-13,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2021-12-13,"STEP Aire","2021/22","IAV_gc_per_day",376416997289.569
2021-12-13,"STEP Aire","2021/22","IAV_gc_per_mL_WW",2.30715527415888
2021-12-13,"STEP Aire","2021/22","IBV_gc_per_day",188807612691.645
2021-12-13,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.15724975906912
2021-12-17,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2142518914429.51
2021-12-17,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",13.7210781721796
2021-12-17,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2021-12-17,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2021-12-17,"STEP Aire","2021/22","IAV_gc_per_day",537754182548.49
2021-12-17,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.52602571994289
2021-12-17,"STEP Aire","2021/22","IBV_gc_per_day",524696360439.255
2021-12-17,"STEP Aire","2021/22","IBV_gc_per_mL_WW",3.44040627132158
2021-12-20,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1435416058195.56
2021-12-20,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",10.1468646312529
2021-12-20,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2021-12-20,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2021-12-20,"STEP Aire","2021/22","IAV_gc_per_day",710574602325.174
2021-12-20,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.61879957830773
2021-12-20,"STEP Aire","2021/22","IBV_gc_per_day",710574602325.174
2021-12-20,"STEP Aire","2021/22","IBV_gc_per_mL_WW",4.61879957830773
2021-12-24,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1293743862636.69
2021-12-24,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",9.26332573864724
2021-12-24,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2021-12-24,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2021-12-24,"STEP Aire","2021/22","IAV_gc_per_day",2400247942340
2021-12-24,"STEP Aire","2021/22","IAV_gc_per_mL_WW",17.1430363062001
2021-12-24,"STEP Aire","2021/22","IBV_gc_per_day",0
2021-12-24,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0
2021-12-27,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1142793685981.52
2021-12-27,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.05175585086817
2021-12-27,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0
2021-12-27,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0
2021-12-27,"STEP Aire","2021/22","IAV_gc_per_day",2954261900890.91
