"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2021-12-03,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1689503289767.44,1539352890584.26,1839653688950.61,2
2021-12-03,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",11.30082308,10.29649056,12.3051556,2
2021-12-06,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2260466537683.81,1507270922747.87,3013662152619.75,2
2021-12-06,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",12.6524606965,8.436615093,16.8683063,2
2021-12-06,"STEP Aire","2021/22","IAV_gc_per_day",0,0,0,2
2021-12-06,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0,0,0,2
2021-12-06,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-06,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",5630312542815.44,5630312542815.44,5630312542815.44,1
2021-12-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",18.90409413,18.90409413,18.90409413,1
2021-12-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-10,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-10,"STEP Aire","2021/22","IAV_gc_per_day",1002055580270.91,0,2004111160541.83,2
2021-12-10,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.211006477,0,6.422012954,2
2021-12-10,"STEP Aire","2021/22","IBV_gc_per_day",334006157017.961,0,668012314035.921,2
2021-12-10,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.0702958545,0,2.140591709,2
2021-12-13,"ARA Werdhölzli","2021/22","IAV_gc_per_day",3347680313817.57,2982674405280.31,3712686222354.82,2
2021-12-13,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",18.86856144,16.81127527,20.92584761,2
2021-12-13,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-13,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-13,"STEP Aire","2021/22","IAV_gc_per_day",376416997263.648,0,752833994527.296,2
2021-12-13,"STEP Aire","2021/22","IAV_gc_per_mL_WW",2.307155274,0,4.614310548,2
2021-12-13,"STEP Aire","2021/22","IBV_gc_per_day",188807612680.368,0,377615225360.736,2
2021-12-13,"STEP Aire","2021/22","IBV_gc_per_mL_WW",1.157249759,0,2.314499518,2
2021-12-17,"ARA Werdhölzli","2021/22","IAV_gc_per_day",2142515219231.49,1938686995078.89,2346343443384.1,2
2021-12-17,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",13.72107817,12.41572315,15.02643319,2
2021-12-17,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-17,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-17,"STEP Aire","2021/22","IAV_gc_per_day",537754182557.2,341088659075.39,734419706039.01,2
2021-12-17,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.52602572,2.236500289,4.815551151,2
2021-12-17,"STEP Aire","2021/22","IBV_gc_per_day",524696360390.21,367202205024.28,682190515756.14,2
2021-12-17,"STEP Aire","2021/22","IBV_gc_per_mL_WW",3.440406271,2.407725428,4.473087114,2
2021-12-20,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1435411642271.95,846971327222.28,2023851957321.62,2
2021-12-20,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",10.14686463,5.98720475,14.30652451,2
2021-12-20,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-20,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-20,"STEP Aire","2021/22","IAV_gc_per_day",710574602354.754,701207756492.432,719941448217.076,2
2021-12-20,"STEP Aire","2021/22","IAV_gc_per_mL_WW",4.6187995785,4.557914228,4.679684929,2
2021-12-20,"STEP Aire","2021/22","IBV_gc_per_day",710574602354.754,701207756492.432,719941448217.076,2
2021-12-20,"STEP Aire","2021/22","IBV_gc_per_mL_WW",4.6187995785,4.557914228,4.679684929,2
2021-12-24,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1293741345362.46,1140736199556.66,1446746491168.26,2
2021-12-24,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",9.26332574,8.16779261,10.35885887,2
2021-12-24,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-24,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-24,"STEP Aire","2021/22","IAV_gc_per_day",2400247942171.96,1596141804206.16,3204354080137.77,2
2021-12-24,"STEP Aire","2021/22","IAV_gc_per_mL_WW",17.143036305,11.39995432,22.88611829,2
2021-12-24,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-24,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-27,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1142792182141.99,1138266351716.26,1147318012567.72,2
2021-12-27,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",4.051755851,4.035709574,4.067802128,2
2021-12-27,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2021-12-27,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2021-12-27,"STEP Aire","2021/22","IAV_gc_per_day",2954261900677.33,2577604125863.54,3700576727968.26,3
2021-12-27,"STEP Aire","2021/22","IAV_gc_per_mL_WW",10.555685418,9.209873464,13.22229549,3
2021-12-27,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,3
2021-12-27,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,3
2021-12-31,"STEP Aire","2021/22","IAV_gc_per_day",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-31,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-01,"ARA Werdhölzli","2021/22","IAV_gc_per_day",835541074397.182,336174822705.601,1334907326088.76,2
2022-01-01,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",5.1785827695,2.083570991,8.273594548,2
2022-01-01,"ARA Werdhölzli","2021/22","IBV_gc_per_day",168087411352.8,0,336174822705.601,2
2022-01-01,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",1.0417854955,0,2.083570991,2
2022-01-03,"ARA Werdhölzli","2021/22","IAV_gc_per_day",1485539197722.23,1320993239333.07,1650085156111.38,2
2022-01-03,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",9.344632721,8.309573162,10.37969228,2
2022-01-03,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-03,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_day",563307768753.276,378642693205.112,747972844301.44,2
2022-01-03,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.5748322635,2.402921087,4.74674344,2
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-03,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_day",552541535401.918,375545687072.261,729537383731.575,2
2022-01-07,"STEP Aire","2021/22","IAV_gc_per_mL_WW",3.576760478,2.431015381,4.722505575,2
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-07,"STEP Aire","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_day",391217695879.035,389257351837.933,393178039920.138,2
2022-01-08,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.061589915,2.05125954,2.07192029,2
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
2022-01-08,"ARA Werdhölzli","2021/22","IBV_gc_per_mL_WW",0,0,0,2
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_day",663026411091.632,0,1326052822183.26,2
2022-01-10,"ARA Werdhölzli","2021/22","IAV_gc_per_mL_WW",2.073964631,0,4.147929262,2
2022-01-10,"ARA Werdhölzli","2021/22","IBV_gc_per_day",0,0,0,2
