"","date","region_nr","measuring_period","pathogen","total_cnslt"
"1",2020-10-05,1,"2020/21","RSV",0
"2",2020-10-05,2,"2020/21","RSV",0
"3",2020-10-05,3,"2020/21","RSV",0
"4",2020-10-05,5,"2020/21","RSV",0
"5",2020-10-05,6,"2020/21","RSV",0
"6",2020-10-12,1,"2020/21","RSV",0
"7",2020-10-12,2,"2020/21","RSV",0
"8",2020-10-12,3,"2020/21","RSV",0
"9",2020-10-12,4,"2020/21","RSV",0
"10",2020-10-12,5,"2020/21","RSV",0
"11",2020-10-12,6,"2020/21","RSV",0
"12",2020-10-19,1,"2020/21","RSV",0
"13",2020-10-19,2,"2020/21","RSV",0
"14",2020-10-19,3,"2020/21","RSV",0
"15",2020-10-19,4,"2020/21","RSV",0
"16",2020-10-19,5,"2020/21","RSV",0
"17",2020-10-19,6,"2020/21","RSV",0
"18",2020-10-26,1,"2020/21","RSV",0
"19",2020-10-26,2,"2020/21","RSV",0
"20",2020-10-26,3,"2020/21","RSV",0
"21",2020-10-26,4,"2020/21","RSV",0
"22",2020-10-26,5,"2020/21","RSV",0
"23",2020-10-26,6,"2020/21","RSV",0
"24",2020-11-02,1,"2020/21","RSV",0
"25",2020-11-02,2,"2020/21","RSV",0
"26",2020-11-02,3,"2020/21","RSV",0
"27",2020-11-02,4,"2020/21","RSV",0
"28",2020-11-02,5,"2020/21","RSV",0
"29",2020-11-02,6,"2020/21","RSV",0
"30",2020-11-09,1,"2020/21","RSV",0
"31",2020-11-09,2,"2020/21","RSV",0
"32",2020-11-09,3,"2020/21","RSV",0
"33",2020-11-09,4,"2020/21","RSV",0
"34",2020-11-09,5,"2020/21","RSV",0
"35",2020-11-09,6,"2020/21","RSV",0
"36",2020-11-16,1,"2020/21","RSV",0
"37",2020-11-16,2,"2020/21","RSV",0
"38",2020-11-16,3,"2020/21","RSV",0
"39",2020-11-16,4,"2020/21","RSV",0
"40",2020-11-16,5,"2020/21","RSV",0
"41",2020-11-16,6,"2020/21","RSV",0
"42",2020-11-23,1,"2020/21","RSV",0
"43",2020-11-23,2,"2020/21","RSV",0
"44",2020-11-23,3,"2020/21","RSV",0
"45",2020-11-23,4,"2020/21","RSV",0
"46",2020-11-23,5,"2020/21","RSV",0
"47",2020-11-23,6,"2020/21","RSV",0
"48",2020-11-30,1,"2020/21","RSV",0
"49",2020-11-30,2,"2020/21","RSV",0
"50",2020-11-30,3,"2020/21","RSV",0
"51",2020-11-30,4,"2020/21","RSV",0
"52",2020-11-30,5,"2020/21","RSV",0
"53",2020-11-30,6,"2020/21","RSV",0
"54",2020-12-07,1,"2020/21","RSV",0
"55",2020-12-07,2,"2020/21","RSV",0
"56",2020-12-07,3,"2020/21","RSV",0
"57",2020-12-07,4,"2020/21","RSV",0
"58",2020-12-07,5,"2020/21","RSV",0
"59",2020-12-07,6,"2020/21","RSV",0
"60",2020-12-14,1,"2020/21","RSV",0
"61",2020-12-14,2,"2020/21","RSV",0
"62",2020-12-14,3,"2020/21","RSV",0
"63",2020-12-14,4,"2020/21","RSV",0
"64",2020-12-14,5,"2020/21","RSV",0
"65",2020-12-14,6,"2020/21","RSV",0
