"sample_date","wwtp","measuring_period","measurement_type","mean","min","max","n_measurements"
2021-12-01,"ARA Basel","2021/22","IAV_gc_per_day",5.0935e+11,5.0935e+11,5.0935e+11,1
2021-12-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",6.1,6.1,6.1,1
2021-12-01,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-09,"ARA Basel","2021/22","IAV_gc_per_day",1.602645e+12,1.602645e+12,1.602645e+12,1
2021-12-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",18.15,18.15,18.15,1
2021-12-09,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-14,"ARA Basel","2021/22","IAV_gc_per_day",3.57315e+12,3.57315e+12,3.57315e+12,1
2021-12-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",61.5,61.5,61.5,1
2021-12-14,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-18,"ARA Basel","2021/22","IAV_gc_per_day",1.555695e+12,1.555695e+12,1.555695e+12,1
2021-12-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",27.15,27.15,27.15,1
2021-12-18,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-20,"ARA Basel","2021/22","IAV_gc_per_day",2.396875e+12,2.396875e+12,2.396875e+12,1
2021-12-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",38.35,38.35,38.35,1
2021-12-20,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-26,"ARA Basel","2021/22","IAV_gc_per_day",9.348e+11,9.348e+11,9.348e+11,1
2021-12-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",8.2,8.2,8.2,1
2021-12-26,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2021-12-29,"ARA Basel","2021/22","IAV_gc_per_day",5.202e+11,5.202e+11,5.202e+11,1
2021-12-29,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.1,5.1,5.1,1
2021-12-29,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2021-12-29,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-02,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-02,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-02,"ARA Basel","2021/22","IBV_gc_per_day",NA,NA,NA,1
2022-01-02,"ARA Basel","2021/22","IBV_gc_per_mL_WW",NA,NA,NA,1
2022-01-04,"ARA Basel","2021/22","IAV_gc_per_day",1.13538e+12,1.13538e+12,1.13538e+12,1
2022-01-04,"ARA Basel","2021/22","IAV_gc_per_mL_WW",14.9,14.9,14.9,1
2022-01-04,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-04,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-06,"ARA Basel","2021/22","IAV_gc_per_day",6.79035e+11,6.79035e+11,6.79035e+11,1
2022-01-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.15,10.15,10.15,1
2022-01-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-08,"ARA Basel","2021/22","IAV_gc_per_day",8.937e+11,8.937e+11,8.937e+11,1
2022-01-08,"ARA Basel","2021/22","IAV_gc_per_mL_WW",13.5,13.5,13.5,1
2022-01-08,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-08,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-10,"ARA Basel","2021/22","IAV_gc_per_day",2.89836e+12,2.89836e+12,2.89836e+12,1
2022-01-10,"ARA Basel","2021/22","IAV_gc_per_mL_WW",38.8,38.8,38.8,1
2022-01-10,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-10,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-12,"ARA Basel","2021/22","IAV_gc_per_day",1.01556e+12,1.01556e+12,1.01556e+12,1
2022-01-12,"ARA Basel","2021/22","IAV_gc_per_mL_WW",15.6,15.6,15.6,1
2022-01-12,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-12,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-14,"ARA Basel","2021/22","IAV_gc_per_day",4.1448e+11,4.1448e+11,4.1448e+11,1
2022-01-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",6.6,6.6,6.6,1
2022-01-14,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-16,"ARA Basel","2021/22","IAV_gc_per_day",9.2648e+11,9.2648e+11,9.2648e+11,1
2022-01-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",15.65,15.65,15.65,1
2022-01-16,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-18,"ARA Basel","2021/22","IBV_gc_per_day",NA,NA,NA,1
2022-01-18,"ARA Basel","2021/22","IBV_gc_per_mL_WW",NA,NA,NA,1
2022-01-20,"ARA Basel","2021/22","IAV_gc_per_day",8.9244e+11,8.9244e+11,8.9244e+11,1
2022-01-20,"ARA Basel","2021/22","IAV_gc_per_mL_WW",16.65,16.65,16.65,1
2022-01-20,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-20,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-23,"ARA Basel","2021/22","IAV_gc_per_day",8.4378e+11,8.4378e+11,8.4378e+11,1
2022-01-23,"ARA Basel","2021/22","IAV_gc_per_mL_WW",14.7,14.7,14.7,1
2022-01-23,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-01-23,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-25,"ARA Basel","2021/22","IBV_gc_per_day",NA,NA,NA,1
2022-01-25,"ARA Basel","2021/22","IBV_gc_per_mL_WW",NA,NA,NA,1
2022-01-30,"ARA Basel","2021/22","IAV_gc_per_day",0,0,0,1
2022-01-30,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0,0,0,1
2022-01-30,"ARA Basel","2021/22","IBV_gc_per_day",NA,NA,NA,1
2022-01-30,"ARA Basel","2021/22","IBV_gc_per_mL_WW",NA,NA,NA,1
2022-02-01,"ARA Basel","2021/22","IAV_gc_per_day",6.3902e+11,6.3902e+11,6.3902e+11,1
2022-02-01,"ARA Basel","2021/22","IAV_gc_per_mL_WW",8.9,8.9,8.9,1
2022-02-01,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-01,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_day",4.511e+11,4.511e+11,4.511e+11,1
2022-02-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",6.5,6.5,6.5,1
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_day",5.9058e+11,5.9058e+11,5.9058e+11,1
2022-02-06,"ARA Basel","2021/22","IAV_gc_per_mL_WW",10.2,10.2,10.2,1
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-06,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_day",1.00142e+12,1.00142e+12,1.00142e+12,1
2022-02-09,"ARA Basel","2021/22","IAV_gc_per_mL_WW",16.1,16.1,16.1,1
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_day",0,0,0,1
2022-02-09,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0,0,0,1
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_day",6.6435e+11,6.6435e+11,6.6435e+11,1
2022-02-11,"ARA Basel","2021/22","IAV_gc_per_mL_WW",5.15,5.15,5.15,1
