"date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
2021-10-02,NA,NA,NA,NA,NA,NA,1.44479819654465e-05,1.44479819654465e-05,1.44479819654465e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-03,NA,NA,NA,NA,NA,NA,1.62848990945892e-05,1.62848990945892e-05,1.62848990945892e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-04,NA,NA,NA,NA,NA,NA,1.67053328396674e-05,1.67053328396674e-05,1.67053328396674e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-05,0,0,0,1.42749172308399e-05,1.42749172308399e-05,1.42749172308399e-05,1.69159204065255e-05,1.69159204065255e-05,1.69159204065255e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-06,1.74360161534581e-05,1.74360161534581e-05,1.74360161534581e-05,1.60063614533934e-05,1.60063614533934e-05,1.60063614533934e-05,1.77681470597399e-05,1.77681470597399e-05,1.77681470597399e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-07,3.2692530287734e-05,3.2692530287734e-05,3.2692530287734e-05,1.6351015381641e-05,1.6351015381641e-05,1.6351015381641e-05,1.89280529922498e-05,1.89280529922498e-05,1.89280529922498e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-08,4.35900403836455e-05,4.35900403836455e-05,4.35900403836455e-05,1.66172778272983e-05,1.66172778272983e-05,1.66172778272983e-05,1.99152990503902e-05,1.99152990503902e-05,1.99152990503902e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-09,4.79490444220101e-05,4.79490444220101e-05,4.79490444220101e-05,1.75656795743186e-05,1.75656795743186e-05,1.75656795743186e-05,2.04242400026502e-05,2.04242400026502e-05,2.04242400026502e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-10,4.35900403836456e-05,4.35900403836456e-05,4.35900403836456e-05,1.88025875067096e-05,1.88025875067096e-05,1.88025875067096e-05,2.76944381978439e-05,2.76944381978439e-05,2.76944381978439e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
2021-10-11,2.83335262493696e-05,2.83335262493696e-05,2.83335262493696e-05,1.99051545862687e-05,1.99051545862687e-05,1.99051545862687e-05,4.56373857963446e-05,4.56373857963446e-05,4.56373857963446e-05,NA,NA,NA,NA,NA,NA,NA,"All Switzerland","ILI corrected for percent positivity","2021/22"
