"sample_date","wwtp","measuring_period","measurement_type","value"
2021-08-16,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-08-16,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-08-16,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-08-16,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-08-26,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-08-26,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-08-26,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-08-26,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-09-03,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-09-03,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-09-03,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-09-03,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-09-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-09-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-09-14,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-09-14,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-09-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-09-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-09-24,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-09-24,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-10-04,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-10-04,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-10-04,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-10-04,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-10-14,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-10-14,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
2021-10-14,"ARA Basel","2021/22","IAV_gc_per_day",0
2021-10-14,"ARA Basel","2021/22","IBV_gc_per_day",0
2021-10-24,"ARA Basel","2021/22","IAV_gc_per_mL_WW",0
2021-10-24,"ARA Basel","2021/22","IBV_gc_per_mL_WW",0
