"sample_date","wwtp","measuring_period","target","measurement_type","value"
2022-03-11,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",63.42092359
2022-03-11,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",2.347682644
2022-03-11,"STEP Aire","2021/22","respv4","IAV_gc_per_day",9112825668799.92
2022-03-11,"STEP Aire","2021/22","respv4","IBV_gc_per_day",337333823751.072
2022-03-11,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",36.53822385
2022-03-11,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-11,"STEP Aire","2021/22","respv4","IAV_gc_per_day",5250104308558.8
2022-03-11,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-04,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",26.56021059
2022-03-04,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-04,"STEP Aire","2021/22","respv4","IAV_gc_per_day",3895187684076.45
2022-03-04,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-03-04,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",41.18695648
2022-03-04,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-03-04,"STEP Aire","2021/22","respv4","IAV_gc_per_day",6040273102574.4
2022-03-04,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-02-25,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",9.899549298
2022-02-25,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-02-25,"STEP Aire","2021/22","respv4","IAV_gc_per_day",1417486765332.73
2022-02-25,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-02-25,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",18.52897983
2022-02-25,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-02-25,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2653109034918.21
2022-02-25,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-02-18,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",6.994752429
2022-02-18,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-02-18,"STEP Aire","2021/22","respv4","IAV_gc_per_day",992002784233.209
2022-02-18,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-02-18,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",7.159358621
2022-02-18,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-02-18,"STEP Aire","2021/22","respv4","IAV_gc_per_day",1015347398988.84
2022-02-18,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-02-11,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",7.037617128
2022-02-11,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-02-11,"STEP Aire","2021/22","respv4","IAV_gc_per_day",1048288259301.24
2022-02-11,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-02-11,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",13.85122453
2022-02-11,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-02-11,"STEP Aire","2021/22","respv4","IAV_gc_per_day",2063209149866.15
2022-02-11,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-01-31,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",11.68336906
2022-01-31,"STEP Aire","2021/22","respv4","IBV_gc_per_mL_WW",0
2022-01-31,"STEP Aire","2021/22","respv4","IAV_gc_per_day",1696647171524.14
2022-01-31,"STEP Aire","2021/22","respv4","IBV_gc_per_day",0
2022-01-31,"STEP Aire","2021/22","respv4","IAV_gc_per_mL_WW",17.08140326
