"","sample_date","measuring_period","wwtp","IAV_gc_per_mL_WW","IBV_gc_per_mL_WW","influenza_type","observation_units","observation","date_2","is_observation"
"1",2021-12-01,"2021/22","ARA Basel",6.1,0,"IAV","gc_per_day_norm",1.80249840753061,2021-12-01,TRUE
"2",2021-12-02,NA,NA,NA,NA,NA,NA,2.2861203022153,NA,NA
"3",2021-12-03,NA,NA,NA,NA,NA,NA,2.76974219689999,NA,NA
"4",2021-12-04,NA,NA,NA,NA,NA,NA,3.25336409158468,NA,NA
"5",2021-12-05,NA,NA,NA,NA,NA,NA,3.73698598626938,NA,NA
"6",2021-12-06,NA,NA,NA,NA,NA,NA,4.22060788095407,NA,NA
"7",2021-12-07,NA,NA,NA,NA,NA,NA,4.70422977563876,NA,NA
"8",2021-12-08,NA,NA,NA,NA,NA,NA,5.18785167032345,NA,NA
"9",2021-12-09,"2021/22","ARA Basel",18.15,0,"IAV","gc_per_day_norm",5.67147356500814,2021-12-09,TRUE
"10",2021-12-10,NA,NA,NA,NA,NA,NA,7.06612640668129,NA,NA
"11",2021-12-11,NA,NA,NA,NA,NA,NA,8.46077924835445,NA,NA
"12",2021-12-12,NA,NA,NA,NA,NA,NA,9.8554320900276,NA,NA
"13",2021-12-13,NA,NA,NA,NA,NA,NA,11.2500849317008,NA,NA
"14",2021-12-14,"2021/22","ARA Basel",61.5,0,"IAV","gc_per_day_norm",12.6447377733739,2021-12-14,TRUE
"15",2021-12-15,NA,NA,NA,NA,NA,NA,10.8598848113808,NA,NA
"16",2021-12-16,NA,NA,NA,NA,NA,NA,9.07503184938778,NA,NA
"17",2021-12-17,NA,NA,NA,NA,NA,NA,7.29017888739472,NA,NA
"18",2021-12-18,"2021/22","ARA Basel",27.15,0,"IAV","gc_per_day_norm",5.50532592540166,2021-12-18,TRUE
"19",2021-12-19,NA,NA,NA,NA,NA,NA,6.99371859296482,NA,NA
"20",2021-12-20,"2021/22","ARA Basel",38.35,0,"IAV","gc_per_day_norm",8.48211126052799,2021-12-20,TRUE
"21",2021-12-21,NA,NA,NA,NA,NA,NA,7.61977434118952,NA,NA
"22",2021-12-22,NA,NA,NA,NA,NA,NA,6.75743742185104,NA,NA
"23",2021-12-23,NA,NA,NA,NA,NA,NA,5.89510050251256,NA,NA
"24",2021-12-24,NA,NA,NA,NA,NA,NA,5.03276358317409,NA,NA
"25",2021-12-25,NA,NA,NA,NA,NA,NA,4.17042666383561,NA,NA
"26",2021-12-26,"2021/22","ARA Basel",8.2,0,"IAV","gc_per_day_norm",3.30808974449713,2021-12-26,TRUE
"27",2021-12-27,NA,NA,NA,NA,NA,NA,2.81902470096964,NA,NA
"28",2021-12-28,NA,NA,NA,NA,NA,NA,2.32995965744214,NA,NA
"29",2021-12-29,"2021/22","ARA Basel",5.1,0,"IAV","gc_per_day_norm",1.84089461391464,2021-12-29,TRUE
"30",2021-12-30,NA,NA,NA,NA,NA,NA,1.38067096043598,NA,NA
"31",2021-12-31,NA,NA,NA,NA,NA,NA,0.920447306957322,NA,NA
"32",2022-01-01,NA,NA,NA,NA,NA,NA,0.460223653478661,NA,NA
"33",2022-01-02,"2021/22","ARA Basel",0,NA,"IAV","gc_per_day_norm",0,2022-01-02,TRUE
"34",2022-01-03,NA,NA,NA,NA,NA,NA,2.00895321678817,NA,NA
"35",2022-01-04,"2021/22","ARA Basel",14.9,0,"IAV","gc_per_day_norm",4.01790643357633,2022-01-04,TRUE
"36",2022-01-05,NA,NA,NA,NA,NA,NA,3.21044482978272,NA,NA
"37",2022-01-06,"2021/22","ARA Basel",10.15,0,"IAV","gc_per_day_norm",2.4029832259891,2022-01-06,TRUE
"38",2022-01-07,NA,NA,NA,NA,NA,NA,2.78281371646967,NA,NA
"39",2022-01-08,"2021/22","ARA Basel",13.5,0,"IAV","gc_per_day_norm",3.16264420695024,2022-01-08,TRUE
"40",2022-01-09,NA,NA,NA,NA,NA,NA,6.70971052445325,NA,NA
"41",2022-01-10,"2021/22","ARA Basel",38.8,0,"IAV","gc_per_day_norm",10.2567768419563,2022-01-10,TRUE
"42",2022-01-11,NA,NA,NA,NA,NA,NA,6.92533087975087,NA,NA
"43",2022-01-12,"2021/22","ARA Basel",15.6,0,"IAV","gc_per_day_norm",3.59388491754547,2022-01-12,TRUE
"44",2022-01-13,NA,NA,NA,NA,NA,NA,2.53032769481209,NA,NA
"45",2022-01-14,"2021/22","ARA Basel",6.6,0,"IAV","gc_per_day_norm",1.4667704720787,2022-01-14,TRUE
"46",2022-01-15,NA,NA,NA,NA,NA,NA,2.37270861348999,NA,NA
"47",2022-01-16,"2021/22","ARA Basel",15.65,0,"IAV","gc_per_day_norm",3.27864675490127,2022-01-16,TRUE
"48",2022-01-17,NA,NA,NA,NA,NA,NA,1.63932337745063,NA,NA
"49",2022-01-18,"2021/22","ARA Basel",0,NA,"IAV","gc_per_day_norm",0,2022-01-18,TRUE
"50",2022-01-19,NA,NA,NA,NA,NA,NA,1.57909264633024,NA,NA
"51",2022-01-20,"2021/22","ARA Basel",16.65,0,"IAV","gc_per_day_norm",3.15818529266049,2022-01-20,TRUE
"52",2022-01-21,NA,NA,NA,NA,NA,NA,3.10078561823201,NA,NA
"53",2022-01-22,NA,NA,NA,NA,NA,NA,3.04338594380352,NA,NA
"54",2022-01-23,"2021/22","ARA Basel",14.7,0,"IAV","gc_per_day_norm",2.98598626937504,2022-01-23,TRUE
"55",2022-01-24,NA,NA,NA,NA,NA,NA,1.49299313468752,NA,NA
"56",2022-01-25,"2021/22","ARA Basel",0,NA,"IAV","gc_per_day_norm",0,2022-01-25,TRUE
"57",2022-01-26,NA,NA,NA,NA,NA,NA,0,NA,NA
"58",2022-01-27,NA,NA,NA,NA,NA,NA,0,NA,NA
"59",2022-01-28,NA,NA,NA,NA,NA,NA,0,NA,NA
"60",2022-01-29,NA,NA,NA,NA,NA,NA,0,NA,NA
"61",2022-01-30,"2021/22","ARA Basel",0,NA,"IAV","gc_per_day_norm",0,2022-01-30,TRUE
"62",2022-01-31,NA,NA,NA,NA,NA,NA,1.13068865454031,NA,NA
