"","sample_date","measuring_period","wwtp","IAV_gc_per_mL_WW","IBV_gc_per_mL_WW","influenza_type","observation_units","observation","date_2","is_observation"
"1",2021-12-06,"2021/22","STEP Aire",0,0,"IAV","gc_per_day_norm",0,2021-12-06,TRUE
"2",2021-12-07,NA,NA,NA,NA,NA,NA,3.59051840318519,NA,NA
"3",2021-12-08,NA,NA,NA,NA,NA,NA,6.6494422121491,NA,NA
"4",2021-12-09,NA,NA,NA,NA,NA,NA,8.64517683267045,NA,NA
"5",2021-12-10,"2021/22","STEP Aire",3.211006477,1.0702958545,"IAV","gc_per_day_norm",9.04612767052797,2021-12-10,TRUE
"6",2021-12-11,NA,NA,NA,NA,NA,NA,7.61824826251837,NA,NA
"7",2021-12-12,NA,NA,NA,NA,NA,NA,5.31768466951038,NA,NA
"8",2021-12-13,"2021/22","STEP Aire",2.307155274,1.157249759,"IAV","gc_per_day_norm",3.39813108339075,2021-12-13,TRUE
"9",2021-12-14,NA,NA,NA,NA,NA,NA,2.80469909130558,NA,NA
"10",2021-12-15,NA,NA,NA,NA,NA,NA,3.24816986143848,NA,NA
"11",2021-12-16,NA,NA,NA,NA,NA,NA,4.13074195723246,NA,NA
"12",2021-12-17,"2021/22","STEP Aire",3.52602572,3.440406271,"IAV","gc_per_day_norm",4.85461394213051,2021-12-17,TRUE
"13",2021-12-18,NA,NA,NA,NA,NA,NA,5.05601207021237,NA,NA
"14",2021-12-19,NA,NA,NA,NA,NA,NA,5.30727335810481,NA,NA
"15",2021-12-20,"2021/22","STEP Aire",4.6187995785,4.6187995785,"IAV","gc_per_day_norm",6.41476251307131,2021-12-20,TRUE
"16",2021-12-21,NA,NA,NA,NA,NA,NA,8.96818980838346,NA,NA
"17",2021-12-22,NA,NA,NA,NA,NA,NA,12.6906477813453,NA,NA
"18",2021-12-23,NA,NA,NA,NA,NA,NA,17.0885745352688,NA,NA
"19",2021-12-24,"2021/22","STEP Aire",17.143036305,0,"IAV","gc_per_day_norm",21.6684081734662,2021-12-24,TRUE
"20",2021-12-25,NA,NA,NA,NA,NA,NA,25.7553303906168,NA,NA
"21",2021-12-26,NA,NA,NA,NA,NA,NA,27.9494972468696,NA,NA
"22",2021-12-27,"2021/22","STEP Aire",10.555685418,0,"IAV","gc_per_day_norm",26.6698083937406,2021-12-27,TRUE
"23",2021-12-28,NA,NA,NA,NA,NA,NA,21.0353120934066,NA,NA
"24",2021-12-29,NA,NA,NA,NA,NA,NA,12.965651050686,NA,NA
"25",2021-12-30,NA,NA,NA,NA,NA,NA,5.08061658105752,NA,NA
"26",2021-12-31,"2021/22","STEP Aire",0,0,"IAV","gc_per_day_norm",0,2021-12-31,TRUE
"27",2022-01-01,NA,NA,NA,NA,NA,NA,0,NA,NA
"28",2022-01-02,NA,NA,NA,NA,NA,NA,2.00606873055239,NA,NA
"29",2022-01-03,"2021/22","STEP Aire",3.5748322635,0,"IAV","gc_per_day_norm",5.08530075004893,2022-01-03,TRUE
"30",2022-01-04,NA,NA,NA,NA,NA,NA,6.79012830039562,NA,NA
"31",2022-01-05,NA,NA,NA,NA,NA,NA,7.06413346597844,NA,NA
"32",2022-01-06,NA,NA,NA,NA,NA,NA,6.3244240402089,NA,NA
"33",2022-01-07,"2021/22","STEP Aire",3.576760478,0,"IAV","gc_per_day_norm",4.98810781649853,2022-01-07,TRUE
"34",2022-01-08,NA,NA,NA,NA,NA,NA,3.4734702799847,NA,NA
"35",2022-01-09,NA,NA,NA,NA,NA,NA,2.20350768270814,NA,NA
