"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"1",2021-08-14,NA,NA,NA,NA,NA,NA,6.50745450889225e-10,0,51.5676434670395,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"2",2021-08-15,NA,NA,NA,NA,NA,NA,2.57863248041371e-09,0,27.0656401041578,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"3",2021-08-16,0,0,35.1306753648573,8.19397962079036e-10,0,57.960600811005,4.95577751721545e-09,0,19.3525526137528,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"4",2021-08-17,0,0,50.1669387003951,3.15074420132914e-09,0,33.546007303345,7.80199875468783e-08,0,15.3821110580492,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"5",2021-08-18,0,0,11.9145027371947,6.80376724726983e-09,0,22.6982565067405,2.31643851858364e-07,0,12.5326573021337,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"6",2021-08-19,0,0,17.7483376080883,7.82404068967018e-08,0,17.7830192081599,5.45301661467356e-07,0,10.5858837518515,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"7",2021-08-20,0,0,17.5400670867322,2.00611751378583e-07,0,14.2054400016224,1.2369824900999e-06,0,9.45473877314386,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"8",2021-08-21,0,0,9.83816178152536,4.72455317317744e-07,0,11.592621755798,2.18599196305802e-06,0,9.17968275249343,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"9",2021-08-22,0,0,8.94216835701021,1.03318113146043e-06,0,9.89675132140019,3.24177148821458e-06,0,9.72698415158332,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"10",2021-08-23,0,0,27.4479392190944,1.81894141016652e-06,0,9.1992402362176,4.16130061469532e-06,0,10.77828754442,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"11",2021-08-24,0,0,54.8483665104586,2.76588836979589e-06,0,9.41841658534886,5.01131235649167e-06,0,11.7768824876069,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"12",2021-08-25,0,0,11.792903473417,3.67683296453716e-06,0,10.2300430136094,6.0776396397978e-06,0,12.6304503449572,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"13",2021-08-26,0,0,19.7668799262698,4.54099537898053e-06,0,11.159351705558,6.5560681158416e-06,0,12.6866199871064,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"14",2021-08-27,3.95038660825215e-06,0,17.2526937653152,5.5741416750882e-06,0,12.0256079432013,6.70416969019289e-06,0,12.3416235066327,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"15",2021-08-28,8.23273847770196e-06,0,9.54681707000622,6.17325528674667e-06,0,12.3317328247826,7.03984795946417e-06,0,12.3340732433596,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"16",2021-08-29,1.21167320337146e-05,0,9.86859098006286,6.47287205805531e-06,0,12.2488319272257,6.88176052590884e-06,0,12.0821911192618,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"17",2021-08-30,1.48720437016551e-05,0,47.87326616765,6.8614685754901e-06,0,12.266419654697,6.27484021340004e-06,0,11.8584371549797,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"18",2021-08-31,1.57683499068888e-05,0,68.4884354069082,6.83923984575856e-06,0,12.0336274827755,5.84867277669908e-06,0,11.9418839856621,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
"19",2021-09-01,1.40753270747808e-05,0,11.7908356109504,6.39585817648952e-06,0,11.7241214114579,5.08703733398821e-06,0,11.7729342399904,NA,NA,NA,NA,NA,NA,NA,"ARA Basel","IAV","2021/22"
