"","date","observed_incidence","CI_down_observed_incidence","CI_up_observed_incidence","smoothed_incidence","CI_down_smoothed_incidence","CI_up_smoothed_incidence","deconvolved_incidence","CI_down_deconvolved_incidence","CI_up_deconvolved_incidence","Re_estimate","CI_down_Re_estimate","CI_up_Re_estimate","Re_highHPD","Re_lowHPD","bootstrapped_CI_down_Re_estimate","bootstrapped_CI_up_Re_estimate","observation_type","influenza_type","measuring_period"
"1",2021-11-25,NA,NA,NA,NA,NA,NA,2.69286025379927,0,8.34037127091659,NA,NA,NA,NA,NA,NA,NA,"STEP Aire","IAV","2021/22"
"2",2021-11-26,NA,NA,NA,NA,NA,NA,3.00717626948244,0,6.32522828002523,NA,NA,NA,NA,NA,NA,NA,"STEP Aire","IAV","2021/22"
"3",2021-11-27,NA,NA,NA,NA,NA,NA,3.3805719069234,1.28489749821413,5.47624631563268,NA,NA,NA,NA,NA,NA,NA,"STEP Aire","IAV","2021/22"
"4",2021-11-28,NA,NA,NA,NA,NA,NA,3.7379337826709,2.06789770202501,5.40796986331678,NA,NA,NA,NA,NA,NA,NA,"STEP Aire","IAV","2021/22"
"5",2021-11-29,NA,NA,NA,NA,NA,NA,4.00338632508158,2.43723820358931,5.56953444657386,NA,NA,NA,NA,NA,NA,NA,"STEP Aire","IAV","2021/22"
"6",2021-11-30,NA,NA,NA,NA,NA,NA,4.35137625191177,2.68163059397609,6.02112190984745,1.37955166393415,0.700460480340596,2.257333507176,2.257333507176,0.715847899321813,0.700460480340596,2.05864284752771,"STEP Aire","IAV","2021/22"
"7",2021-12-01,NA,NA,NA,NA,NA,NA,4.72705878466714,2.91403073913624,6.54008683019803,1.2907593526394,0.689612518775773,2.07719496290772,2.07719496290772,0.689612518775773,0.882342542743475,1.69917616253533,"STEP Aire","IAV","2021/22"
"8",2021-12-02,NA,NA,NA,NA,NA,NA,4.94891561167973,2.90486776730105,6.9929634560584,1.23985310252594,0.678970025142616,1.96681922374745,1.96681922374745,0.678970025142616,0.895481709519234,1.58422449553265,"STEP Aire","IAV","2021/22"
"9",2021-12-03,NA,NA,NA,NA,NA,NA,5.31902272363867,3.04193577549123,7.59610967178611,1.21042207653133,0.677989022973244,1.89461313812994,1.89461313812994,0.677989022973244,0.907378570877865,1.51346558218479,"STEP Aire","IAV","2021/22"
"10",2021-12-04,NA,NA,NA,NA,NA,NA,5.79490031396144,3.27132759109308,8.31847303682979,1.19828755345517,0.68632380300098,1.85057194753389,1.85057194753389,0.68632380300098,0.940809814374018,1.45576529253632,"STEP Aire","IAV","2021/22"
